@relation circle

@attribute x.1 numeric
@attribute x.2 numeric
@attribute classes {1,2}

@data
0.718541,0.26725,1
0.33664,0.447117,1
-0.481484,-0.060108,1
0.613372,0.261,1
-0.678668,0.501061,2
-0.767147,-0.539667,2
0.990171,0.481241,2
0.510736,0.196655,1
0.510797,-0.501203,1
0.536812,-0.325564,1
0.722419,0.34517,2
0.408014,-0.930363,2
-0.019911,0.347997,1
0.549044,-0.127204,1
0.95371,0.260957,2
-0.514113,0.737959,2
-0.079173,-0.304735,1
-0.938462,-0.268236,2
-0.474951,0.50634,1
-0.388593,-0.90309,2
0.207758,0.341249,1
0.83049,0.604356,2
-0.904622,0.824094,2
0.472828,-0.70346,2
-0.540434,0.081446,1
0.329574,0.089014,1
0.677148,0.004026,1
-0.193333,0.143639,1
0.806278,-0.737505,2
0.225668,0.820907,2
0.469618,0.077872,1
-0.478259,-0.184253,1
-0.406264,0.139698,1
0.414304,-0.139076,1
0.466774,-0.054363,1
-0.991997,-0.735819,2
-0.111103,0.147558,1
0.806096,0.47029,2
-0.77698,-0.35809,2
0.262994,0.885609,2
0.884077,-0.108834,2
0.67548,-0.414513,1
-0.371519,-0.161471,1
0.124178,0.742969,1
0.774431,-0.40537,2
-0.35231,-0.390366,1
0.623609,-0.455749,1
-0.128015,-0.234363,1
0.48676,0.615068,1
0.85671,0.612744,2
-0.233073,0.807315,2
-0.356308,0.071389,1
-0.775486,0.528457,2
-0.850609,0.258029,2
0.115044,-0.836165,2
-0.498803,0.648126,2
0.763596,-0.711559,2
0.585904,-0.661969,2
-0.71651,0.907852,2
-0.447135,0.794696,2
-0.79846,-0.677462,2
0.369361,0.426665,1
0.895387,-0.50916,2
-0.11645,0.688117,1
0.826832,-0.303391,2
-0.320564,-0.595891,1
0.697949,0.248334,1
-0.684191,-0.6055,2
0.730494,0.237454,1
0.922233,0.773888,2
-0.995622,-0.633477,2
0.875066,-0.615409,2
-0.405086,-0.64125,1
0.577802,-0.677827,2
-0.178097,-0.570238,1
-0.237151,-0.459205,1
-0.419882,-0.25405,1
-0.299118,-0.490781,1
-0.986498,-0.356848,2
-0.654339,0.154057,1
-0.977893,0.429983,2
-0.536722,0.176415,1
-0.482162,0.734133,2
-0.107863,-0.031939,1
-0.745004,0.938181,2
-0.180487,-0.526395,1
-0.018531,0.174709,1
0.010028,-0.773862,1
-0.340249,-0.065182,1
-0.914085,-0.853019,2
0.035513,0.68775,1
0.808349,0.942106,2
0.951789,-0.031299,2
0.903547,-0.852798,2
0.874647,-0.093194,2
-0.565511,0.477907,1
-0.374364,-0.173494,1
-0.970906,0.923756,2
-0.592575,0.864729,2
-0.683781,-0.094311,1
-0.816277,-0.279066,2
0.965568,-0.916681,2
-0.646658,0.695758,2
-0.401874,-0.316802,1
-0.153046,0.378051,1
-0.688741,0.525744,2
-0.578379,0.005127,1
-0.427285,-0.934645,2
0.723789,0.256384,1
0.618887,0.266013,1
0.536382,0.493931,1
0.727402,-0.878432,2
0.809566,0.059043,2
-0.12492,0.511569,1
0.610038,-0.444931,1
-0.310912,-0.346417,1
-0.372445,-0.240152,1
-0.025192,-0.494735,1
-0.981842,-0.980817,2
0.87801,-0.693145,2
0.666663,0.769339,2
-0.615784,0.333084,1
0.903352,-0.576365,2
-0.812437,-0.491251,2
-0.806441,-0.211355,2
0.666278,-0.452468,2
-0.314079,0.439395,1
-0.976047,0.852273,2
0.07755,-0.465112,1
0.494276,-0.80322,2
0.710962,0.623586,2
0.250594,0.566892,1
-0.198102,0.920321,2
0.746436,0.359558,2
0.788149,-0.172076,2
0.418361,-0.543674,1
0.643293,-0.738652,2
0.950291,0.907945,2
-0.880659,0.133901,2
-0.53269,0.695709,2
0.007504,-0.063033,1
0.535748,-0.60596,2
-0.093536,0.548746,1
0.685464,0.648768,2
0.270291,-0.824102,2
0.114219,0.256928,1
0.466464,0.444992,1
0.880064,0.267368,2
-0.431606,-0.291236,1
-0.666945,-0.984569,2
-0.201359,-0.62878,1
0.380116,0.668811,1
-0.282132,-0.333508,1
0.306588,-0.280861,1
0.072439,0.018055,1
-0.957107,0.608481,2
0.105975,0.065824,1
-0.446171,-0.143885,1
0.548402,-0.642381,2
-0.957158,0.69288,2
-0.757923,0.437351,2
-0.919338,0.648356,2
0.843381,0.592585,2
0.707719,-0.418622,2
-0.173337,-0.900491,2
-0.688423,0.215321,1
0.649119,-0.2935,1
0.28394,0.309975,1
0.298591,0.069562,1
0.8986,-0.078012,2
-0.661907,0.811974,2
-0.841618,-0.932976,2
-0.447372,-0.397481,1
-0.077767,0.807764,2
0.989434,-0.715124,2
-0.412447,-0.014311,1
0.333532,0.815366,2
0.898982,-0.029871,2
0.151422,0.478491,1
-0.542736,-0.572913,1
-0.153229,0.359671,1
-0.148375,-0.399637,1
-0.902365,-0.133448,2
0.167481,-0.72053,1
0.569339,0.206208,1
-0.761559,0.818673,2
-0.345993,-0.353935,1
0.700358,-0.134854,1
0.755966,-0.56254,2
0.78813,0.937554,2
-0.629283,-0.728388,2
0.771698,0.092157,1
0.829868,-0.602727,2
-0.535283,0.161263,1
-0.324632,-0.638073,1
0.543016,0.699163,2
-0.80963,0.238113,2
-0.07156,-0.15802,1
0.914348,0.663414,2
-0.518435,0.801023,2
0.862984,0.133411,2
0.323583,0.026074,1
0.110211,-0.388799,1
0.474007,0.485853,1
-0.386574,0.952297,2
0.215604,-0.006409,1
-0.524789,-0.833926,2
-0.172153,0.661991,1
0.969907,-0.368393,2
0.012035,-0.822094,2
-0.357199,0.773926,2
-0.852029,0.187083,2
0.879852,0.676323,2
0.487491,0.694576,2
0.485839,-0.218404,1
0.649802,0.7173,2
0.285913,0.576569,1
-0.472,0.200476,1
0.0195,0.29997,1
-0.468631,-0.872713,2
0.896781,0.189553,2
0.532257,0.088447,1
0.023784,-0.266111,1
0.76859,0.084969,1
-0.773652,0.529113,2
0.900443,-0.931895,2
-0.224338,0.435723,1
-0.965269,-0.803556,2
0.853364,0.964696,2
0.978392,-0.020359,2
-0.760853,-0.151785,1
-0.264656,0.745479,1
-0.673257,0.453229,2
0.03555,0.701827,1
-0.587447,-0.378767,1
0.723183,0.268425,1
0.61593,0.943771,2
0.174362,-0.683518,1
-0.871712,0.886596,2
-0.385829,-0.908799,2
0.582468,0.619675,2
0.089555,0.859346,2
0.130114,-0.334601,1
0.590944,-0.050586,1
0.526408,0.613489,2
0.693889,-0.455381,2
0.116417,-0.214338,1
-0.946089,0.928592,2
0.332834,0.482222,1
0.27591,-0.030919,1
-0.762325,-0.542122,2
-0.532144,0.579625,1
-0.844498,-0.454234,2
0.143723,-0.838627,2
-0.447348,0.465956,1
0.461977,0.440627,1
0.922844,-0.570018,2
0.151341,-0.667807,1
-0.423587,0.022142,1
0.027964,-0.530281,1
0.352692,0.635772,1
0.415688,0.136724,1
-0.721588,0.043808,1
0.027073,0.340855,1
0.421927,-0.971879,2
0.021749,0.896154,2
0.308388,0.642299,1
0.927017,-0.56146,2
0.48685,0.665854,2
-0.276078,0.774742,2
0.557663,-0.402985,1
0.185549,-0.968619,2
