@relation ringnorm

@attribute x.1 numeric
@attribute x.2 numeric
@attribute classes {1,2}

@data
1.258334,-1.514428,1
-0.131605,-0.055415,2
1.120769,1.086641,2
-1.388631,4.310765,1
0.899581,0.091237,2
0.131193,0.711314,2
1.844823,0.426138,2
1.601157,0.45942,2
2.315574,3.811409,1
2.848001,1.119346,2
0.503262,-0.151457,1
0.048579,0.376032,2
-0.730085,0.064877,1
-0.89654,-0.594193,1
1.698784,-0.346728,2
1.051817,1.101951,2
1.988626,0.796708,2
1.704136,0.015889,2
0.383002,0.608413,2
-0.614978,0.972312,2
2.873443,0.709267,2
2.21114,-0.120298,1
-0.774979,1.195729,2
2.429777,-1.816677,1
0.545341,2.131229,2
1.098114,0.589954,2
-0.545671,-1.197404,1
0.278583,0.902415,2
0.694913,-0.204616,2
-0.362538,0.330067,2
1.818521,1.105056,2
-5.06357,1.572524,1
2.212001,-1.280464,1
-0.050502,1.740887,2
0.733695,0.984669,2
0.469953,0.284278,2
-0.639648,2.470225,1
1.782988,1.701687,2
0.332756,0.387138,1
1.42056,-0.021159,1
1.763187,-0.212522,1
0.080249,0.085763,2
2.101868,2.187369,2
2.624532,0.82668,2
1.256835,0.990828,2
-0.493411,-0.361312,2
-0.011177,-1.943383,1
0.512662,-0.612789,1
-1.454369,0.139399,1
0.887823,1.310598,2
0.776122,0.231576,2
-4.646208,-1.916384,1
-0.499415,-0.521253,2
1.14119,0.740675,2
1.481618,0.156945,2
-0.50073,1.011223,1
0.075097,1.414768,1
-0.10773,0.950586,1
-3.405117,-4.797041,1
-0.246853,4.737802,1
-1.451347,2.327193,1
0.02959,0.085596,2
0.24049,0.38793,2
4.831168,-0.449895,1
0.314137,0.627469,2
2.095036,0.07749,2
0.738719,-1.469015,1
0.461155,0.577708,1
-0.290651,-1.05376,2
0.062614,2.176843,2
0.643372,-1.194221,1
-0.042763,-0.697431,2
0.465443,0.072887,2
0.963395,1.332068,2
-1.172399,-0.860672,1
0.287401,0.012505,2
-1.525577,0.72699,1
-0.507884,0.794986,1
1.646205,1.552219,2
0.638923,1.708768,2
-1.284449,-1.173845,1
1.8959,1.661674,2
1.94756,-0.089799,2
0.050635,0.49341,2
0.153527,0.547918,2
-0.575854,0.724683,1
-0.265533,1.590991,2
-4.481418,-1.113827,1
-3.12789,-0.979821,1
-0.828796,-0.595204,1
-0.677036,0.565733,2
0.770371,-2.423694,1
-0.933312,-0.691437,1
-0.832924,1.933135,1
-0.06823,3.830122,1
-0.932416,-3.8287,1
-1.979594,3.206322,1
1.022993,-0.322053,2
1.015799,-0.727566,2
-1.179827,0.422272,1
-1.568396,1.914585,1
3.80115,-2.055103,1
0.26674,1.896784,2
0.653483,0.646768,2
0.348183,1.277713,2
4.319338,0.735061,1
-0.554313,1.041698,2
-3.312759,0.821419,1
0.090739,1.0293,2
0.898568,1.298895,2
0.829891,1.088411,2
-0.363839,0.760639,2
2.808232,-0.884814,1
0.443073,1.7401,2
0.48598,2.317711,2
-2.136529,-0.038243,1
0.606231,-0.095922,1
1.399914,0.546174,2
0.888622,0.901479,1
-0.288457,-1.169261,1
0.760122,1.091528,2
1.38245,1.876426,2
0.485502,-4.405006,1
0.852941,0.301363,2
-0.75362,0.378372,1
-1.240116,-0.165007,1
0.619394,0.940773,1
1.246085,2.267438,2
-0.123508,-1.711562,1
2.462752,0.494634,1
-1.327223,1.811925,1
-3.548625,0.446528,1
1.136129,2.000936,2
1.381687,-0.77592,2
0.919907,-0.04523,2
-0.267781,1.180099,2
-2.117303,-1.244294,1
-0.441519,-0.708118,1
1.676219,3.252287,2
-0.44111,1.778917,2
2.432186,2.283134,2
0.816613,-0.473251,2
0.830708,-1.021263,1
0.983845,1.469596,1
-0.066702,0.842427,2
-1.153726,0.372109,2
1.820933,-0.610325,1
0.443419,-1.807569,1
-2.03419,-1.283765,1
-2.248331,0.207738,1
1.478587,0.083925,1
