@relation smiley

@attribute x.x4 numeric
@attribute x.V2 numeric
@attribute classes {1,2,3,4}

@data
-0.728602,0.8067,1
-0.958366,1.002241,1
-0.905166,0.830572,1
-0.797808,1.156332,1
-0.857896,1.146773,1
-0.559536,0.864872,1
-0.846664,1.010968,1
-0.715304,1.021587,1
-0.800853,1.051434,1
-0.900287,1.005672,1
-0.659865,0.953975,1
-0.965062,1.214645,1
-0.628887,0.931663,1
-0.788084,0.976129,1
-0.978,0.854952,1
-0.885568,0.90259,1
-0.854312,0.853231,1
-0.676893,1.13641,1
-0.883771,0.948369,1
-0.889495,1.101397,1
-0.760865,1.07806,1
-0.826468,0.764245,1
-0.85809,1.05486,1
-0.869366,1.044267,1
-0.835889,1.018449,1
-0.77651,0.921335,1
-0.894178,1.006637,1
-0.716991,1.008965,1
-0.794291,0.771979,1
-0.800193,0.937907,1
-0.797968,1.173011,1
-0.910296,1.015567,1
-0.825035,0.997453,1
-0.665479,1.031898,1
-0.773904,0.956262,1
-0.874366,1.07059,1
-0.685105,1.144262,1
-0.776609,1.036572,1
-0.998182,1.086624,1
-0.996193,0.995873,1
-0.677899,0.978072,1
-0.855294,0.91815,1
-0.802516,0.89447,1
-0.49544,1.035868,1
-0.990174,0.694246,1
-0.876483,1.099634,1
-0.854288,0.985864,1
-0.74526,0.873954,1
-0.82104,1.186803,1
-0.881701,0.986295,1
-0.817176,1.001398,1
-0.886901,0.985072,1
-0.636485,0.89894,1
-0.658857,0.912861,1
-0.845099,0.809709,1
-0.83619,1.044229,1
-0.718893,1.008368,1
-0.707617,0.903736,1
-0.729378,1.129685,1
-0.904032,0.909025,1
-0.830078,0.902305,1
-0.829314,1.115738,1
-0.745699,0.861104,1
-0.659572,1.077631,1
-0.960473,0.990338,1
-0.659424,1.045255,1
-0.782826,1.103775,1
0.704508,1.364313,2
0.676094,1.161478,2
0.751115,1.024261,2
0.733777,0.895176,2
0.715901,0.949646,2
0.835524,0.937687,2
0.939574,1.059629,2
0.698467,0.9153,2
0.9048,1.059243,2
