@relation threenorm

@attribute x.1 numeric
@attribute x.2 numeric
@attribute classes {1,2}

@data
1.961117,-1.553446,2
0.619692,-2.449436,2
1.154874,-1.146412,2
-0.166608,-0.847648,2
0.877143,-1.737365,2
1.053076,-0.57694,2
0.317011,-0.550217,2
0.861574,-0.698582,2
2.005527,-2.369106,2
1.191297,1.566269,1
-1.848073,-0.552243,1
-1.824536,-3.162249,2
0.516043,-1.849525,2
-1.483005,-1.50818,1
2.349158,-1.334409,2
0.225221,-1.004989,2
3.322317,-2.648398,2
1.058156,1.675461,1
3.792977,-1.895547,2
1.267386,-1.24478,2
-1.185463,-2.68718,1
0.849941,2.337191,1
-0.72746,-1.895806,1
-0.447173,-0.636326,1
-1.607615,-3.779373,1
2.179971,0.950373,1
-2.97155,-1.878723,1
1.636237,-0.307553,2
2.341523,-1.428349,2
1.626436,-1.552765,2
0.089189,-3.825747,2
-0.189437,-0.954201,2
1.11532,0.988178,1
-0.317202,-1.563823,2
-2.443993,-0.556828,1
-1.192268,-2.103702,1
1.814113,0.328634,2
-1.597319,-0.097528,1
0.544872,-2.216542,2
-1.642143,-0.956549,1
1.986698,1.501567,1
3.385191,-2.431001,2
-0.359617,-0.986778,2
1.739087,-0.167098,2
0.689042,-1.613426,1
1.441379,-1.698863,2
-2.563962,-1.51752,1
1.31733,-1.995147,2
1.342291,1.55041,1
1.175052,-2.661339,2
0.092546,-1.351314,1
1.680582,-0.431957,2
0.275005,2.627326,1
0.996106,-0.568478,2
1.747163,-2.25533,2
-1.982756,-3.038105,1
0.329799,-1.61624,1
1.134541,-1.054899,2
0.607676,-2.459801,2
0.868056,-1.233996,2
1.166598,-0.812558,2
0.650287,1.117234,1
-1.738675,-0.556738,1
3.643796,-1.200238,2
0.53337,-1.578054,2
1.583581,2.322419,1
2.536688,-1.025815,2
-0.602705,4.29343,1
2.793233,1.696153,1
0.257518,-0.121008,2
2.391277,0.97885,1
1.289137,-2.719642,2
-0.390015,-2.715158,1
0.346235,1.419369,1
1.826161,1.929772,1
1.790711,-3.061859,2
-1.03197,-0.653414,1
2.022843,-2.500786,2
1.347222,-1.516553,2
1.794693,2.270192,1
0.638173,-0.546502,1
-0.048481,-0.79746,2
1.47918,-1.262212,2
3.052891,2.851126,1
1.886158,-0.55933,2
0.013847,-0.90133,2
1.92364,-1.522177,2
2.518986,0.585445,1
-1.755771,-1.502785,1
1.566538,-2.401943,2
-1.513823,0.58393,1
0.065226,-1.306891,1
1.522682,0.489721,1
1.605621,2.057512,1
1.349623,-3.01446,2
0.384906,-1.365149,2
1.59055,1.077359,1
0.892873,-2.136468,2
1.677724,-1.26445,2
-1.352032,-2.080252,1
2.618532,-1.185087,2
1.575983,-1.848452,2
2.301738,-0.651392,2
1.958982,-0.507407,1
1.142835,-1.529237,2
1.668193,1.765918,1
2.263328,2.486269,1
-2.164527,-0.704201,1
2.583967,-1.012678,2
2.311062,-1.567176,2
1.159099,-2.162173,2
3.544704,-0.189535,2
2.043556,0.067308,1
-2.055065,-0.419851,1
-1.907128,-1.418677,1
1.845135,-0.858736,2
1.679863,0.310543,1
-0.308833,-0.897926,1
2.341674,-1.092912,2
2.04059,-1.57784,2
2.3778,0.347829,2
1.88959,-2.250246,2
-2.23582,-1.384206,1
1.684089,-0.357589,1
1.840081,0.166462,2
-1.199003,-0.009152,1
-0.892044,-0.983987,1
1.419963,-0.8571,2
0.439497,0.843858,1
2.935717,-0.577391,2
3.60499,-2.392643,2
2.092796,-1.364322,2
1.252291,0.381387,2
-1.403887,-1.552732,1
1.246345,-1.798947,2
4.066706,-1.915172,2
0.726128,-1.598589,2
2.21838,1.781567,1
1.521889,-0.609414,2
1.408388,-1.53267,2
2.10746,2.93809,1
1.437078,0.154029,2
1.826789,2.794739,1
1.992754,0.11243,2
1.055833,-0.934001,2
3.238421,-2.138589,2
2.145494,-1.634473,2
2.311538,0.224669,1
2.90023,-1.28573,2
-1.246319,1.674774,1
-0.65079,-1.023552,1
0.976145,2.392306,1
-0.001536,-0.367881,2
0.577318,0.474114,1
1.032588,-1.961783,2
0.911266,3.444334,1
1.149565,-1.80442,2
1.007973,-0.388747,2
1.695686,-0.727042,2
-2.511883,-0.800518,1
0.136899,-0.860569,1
1.04466,1.047871,1
2.049596,-0.134049,2
0.312113,-1.782032,1
-0.229434,-1.421127,2
0.580239,-0.793473,2
-0.206893,-1.850176,1
0.19581,2.13695,1
2.89305,1.037562,1
0.491971,1.833574,1
-1.009837,-1.635949,1
2.445512,-0.756061,2
-0.66325,-0.832742,1
3.772203,2.95722,1
4.213807,0.485074,1
1.018458,-0.365734,2
1.445896,-2.799609,2
2.787323,2.284397,1
0.143237,-0.698371,1
-2.106169,-2.044863,1
-1.012957,-1.483087,1
1.495315,0.371169,1
-1.698604,-1.259338,1
0.19743,-1.598414,2
-2.430067,-2.379841,1
1.761657,-2.553539,2
0.840466,-1.338176,2
2.666983,-1.691102,2
1.785415,-2.077319,2
2.390183,1.599603,1
0.922804,-2.150319,2
-1.092888,0.814139,1
1.260193,1.05572,1
1.280338,-1.286677,1
1.96297,1.461699,1
0.308463,-0.696552,2
1.060189,-2.122648,2
1.115986,-2.214856,2
-0.237313,-2.479496,1
2.497271,0.790871,1
1.90918,-0.981347,2
-0.539629,-0.806511,1
-1.363347,-3.454875,1
-1.86715,-1.260406,1
-2.243956,-1.233168,1
-0.003591,-1.800044,2
-1.654953,-2.513356,1
1.070407,-1.692821,2
-1.547739,0.407955,1
3.449449,-1.943795,2
1.435101,-4.232283,1
-0.468388,0.360949,1
2.21407,-0.966174,2
1.904851,-1.017691,2
-2.49414,-2.819576,1
1.650151,-1.928835,2
1.02964,-2.620349,2
1.139983,1.788841,1
-1.20087,-0.05653,1
0.376549,1.475216,1
-2.039692,-0.997587,1
1.172499,-2.876425,2
1.913864,-1.718156,2
1.729448,-1.909929,2
-1.50057,-2.429272,1
0.8427,1.374879,1
0.949594,-1.69046,2
0.40461,-1.987593,2
0.818273,1.386196,1
0.042672,-2.577401,2
-1.21922,-1.419346,1
0.476478,-0.705176,1
0.141469,-1.431207,2
0.973062,-0.577402,2
1.768997,-1.606396,2
-0.298639,-1.083386,2
1.180321,2.495508,1
-0.126364,-0.785497,2
1.943996,1.328632,1
0.428138,-2.160664,2
1.788973,-2.554464,2
2.747658,-2.048438,2
1.041476,-1.910987,2
-2.950656,-2.484795,1
2.758698,-3.028579,2
0.610905,-1.049415,2
1.595645,-1.734193,2
0.906323,-0.515113,2
0.441991,2.246845,1
2.720691,-1.230774,2
1.57132,-1.2191,2
0.805542,-2.399894,2
-1.252408,-2.07114,1
1.527107,2.370926,1
1.181944,3.99212,1
-2.581092,-2.162447,1
1.548764,0.067127,2
2.356528,0.881255,1
1.501904,-1.345376,2
1.696159,-1.921447,2
3.026658,-1.247751,2
1.992713,-1.552954,2
-0.819543,-0.661715,1
0.732128,1.594636,1
-1.538998,-1.370176,1
1.552822,-3.272955,2
2.735613,-1.200772,2
1.133371,2.327872,1
1.5391,1.063896,2
1.638948,1.989615,1
1.409585,-1.785404,2
1.078393,1.125824,2
2.933048,-2.231367,2
0.258977,-2.763519,1
-0.798122,-0.897391,1
-2.843211,-1.203995,1
0.372792,1.618611,1
1.627338,-0.215943,1
-2.06923,-1.045846,1
1.002678,0.117873,2
-2.122107,-1.738139,1
1.006372,0.197295,1
-1.573354,-2.576322,1
1.306882,2.265964,1
-2.21771,-1.780618,1
-1.029713,-4.157009,1
-1.21438,-2.040459,1
-0.239119,-1.049957,2
0.678171,-0.968158,2
-1.712132,-1.809616,1
-1.763329,-0.664737,1
0.841606,2.023253,1
1.596496,2.178851,1
1.744932,0.725469,1
-0.971097,-2.471424,1
1.5244,-2.056834,2
3.015423,-0.150003,2
0.263193,2.310649,1
-1.558405,-1.390284,1
-3.000915,-1.817217,1
-0.016961,0.013871,1
-1.142824,-1.259683,1
1.408354,-3.998264,2
0.925957,1.789564,1
0.16607,-2.249143,2
-1.562986,-2.007116,1
-1.841754,-1.032206,1
2.21502,-2.357126,2
1.709133,0.294874,1
-0.539358,-0.960417,1
1.729204,-1.900584,2
2.978025,-1.409954,2
1.038134,1.618215,1
-3.610446,-0.570686,1
1.543069,-0.742917,2
1.114404,-2.29885,2
0.065559,-1.71499,1
1.018593,1.569382,1
1.339572,0.427908,1
-2.624729,-1.399367,1
1.889726,-2.481004,2
1.323955,0.91549,1
2.121828,-4.195211,2
3.004665,-2.61674,2
-2.554303,-0.654085,1
1.063596,-2.190092,2
0.573758,1.072185,1
0.066939,-1.926249,2
-1.553869,-2.127955,1
-0.413937,-1.514764,1
0.887595,2.240112,1
3.116294,-1.550363,2
-2.140339,-3.020629,1
3.105983,1.795954,1
0.804661,0.331617,1
1.151118,-1.836033,2
1.30964,1.914754,1
4.165688,0.48611,2
1.615408,-2.330624,2
1.018566,-0.543564,2
4.769643,-1.817318,2
-1.353081,-1.431922,1
-1.759213,-1.353124,1
1.211891,0.749094,1
2.622676,-3.252863,2
1.779437,-1.335877,2
-0.01731,-2.974442,2
1.855052,-2.536872,2
0.76667,-3.977809,2
-0.94877,0.223356,1
-2.687954,-1.339654,1
0.954973,-1.45702,2
2.340251,-0.96845,2
-0.734699,-1.440922,1
4.814166,0.928988,1
-2.391439,-2.211963,1
-1.349062,-0.858887,1
0.326366,-0.697371,2
0.420735,-0.390071,2
0.215189,1.669849,1
2.147371,-2.262975,2
1.328057,3.620948,1
2.874503,-4.0366,2
1.458243,1.534697,1
-0.736204,-2.054557,1
-1.993038,-2.36586,1
0.898078,-1.490985,2
0.899405,-1.288888,2
-0.653501,-1.914242,1
2.874777,-0.84665,2
1.605849,-2.201228,2
-2.26837,-1.794485,1
1.413565,-0.910026,2
1.389589,-1.486142,2
1.289302,-2.175657,2
0.745781,1.192498,1
0.880652,-1.988518,2
1.492186,-3.263366,2
2.277587,-1.939359,2
1.405781,0.522649,1
0.833618,-1.118692,2
2.697988,-3.093762,2
1.623974,-1.409822,2
-1.532567,0.274026,1
1.848203,-0.572333,2
2.209829,1.313455,1
1.424448,0.125519,2
-1.768088,-3.189597,1
-1.506841,-0.219276,1
-2.484594,-0.65632,1
1.03415,1.91667,1
1.87164,-1.90417,2
0.454595,1.778255,1
2.538694,2.026907,1
2.699802,0.282324,2
1.355809,-1.648114,2
-0.408434,-2.09631,1
1.966902,-1.929843,2
0.945663,-0.544464,2
-2.74546,-1.979624,1
