@relation twonorm

@attribute x.1 numeric
@attribute x.2 numeric
@attribute classes {1,2}

@data
2.001805,2.079811,1
-0.255644,1.639293,1
0.536552,1.211114,1
0.821867,1.947705,1
-3.572673,-1.191127,2
-2.451936,-0.958392,2
2.368401,-0.108535,1
-0.023574,-2.056999,2
-1.373517,-3.260645,2
0.952225,1.618059,1
-1.211619,-0.699329,2
-3.193021,0.073435,2
1.644569,0.675859,1
-2.256165,-0.892174,2
1.644128,2.000399,1
0.35542,-1.524367,2
-2.082038,-1.634217,2
-0.852266,0.309093,2
2.90269,0.944377,1
1.957695,2.595518,1
-3.222566,-0.006983,2
1.65666,1.060116,1
-1.852994,-1.117048,2
-1.047281,-1.849516,2
0.403555,4.597479,1
0.667621,1.559457,1
-1.662356,-1.970994,2
-0.346921,-2.236636,2
2.351468,1.619969,1
-0.015454,1.757591,1
-2.67789,-0.05521,2
-0.336007,-0.505518,2
-1.292285,-0.334481,1
-3.040902,-3.661529,2
1.079742,1.280936,1
-1.421075,-1.631451,2
3.33776,0.975232,1
0.051694,-0.534505,2
-1.867916,0.202296,2
-0.95072,0.020897,2
-0.16991,3.146828,1
-1.851924,-1.244916,2
0.860425,2.148126,1
1.295201,2.241472,1
-2.420967,-1.193158,2
2.164392,1.089824,1
2.863216,2.640325,1
2.028102,0.983387,1
-1.290319,-0.275186,2
-0.056237,-1.941828,2
-2.149154,-2.977938,2
1.240121,0.23226,1
0.822846,1.443573,1
-0.118263,-0.318097,2
2.206579,2.132566,1
-0.92445,0.276669,2
-0.411409,0.044788,2
-0.175545,-1.740809,2
-2.993931,-0.577195,2
2.243124,1.4788,1
-0.092751,-0.59538,2
-1.85653,-3.069421,2
2.767722,1.717236,1
-1.390074,-2.962817,2
-2.197809,-1.339418,2
0.636713,1.738009,1
-1.878093,-1.644517,2
-0.684868,0.448474,2
2.230081,0.176679,1
0.30622,1.155895,1
-0.621109,0.938549,1
-1.893084,-1.440433,2
0.453081,-1.61447,2
-1.256661,-3.192217,2
0.643613,1.171315,1
0.355457,0.913595,1
-2.036131,-0.399364,2
1.336898,2.200283,1
0.761271,0.627942,2
1.842933,1.617957,1
0.024416,-0.725876,2
0.721221,1.101795,1
-2.098958,0.103366,2
-0.905573,2.438457,1
-1.653816,-1.195665,2
-1.002725,-1.134309,2
2.529812,2.517927,1
1.88792,1.768229,1
-2.384358,-1.675199,2
1.486782,1.443135,1
-2.303877,-1.256822,2
-0.898913,-0.222868,2
-1.725931,-1.208987,2
0.077859,-0.796592,2
-1.716522,-3.249094,2
-0.592277,-2.117977,2
0.748153,1.936351,1
1.85533,1.888069,1
4.038465,1.856951,1
0.907117,2.3508,1
2.376347,2.603319,1
-0.093511,-0.28077,2
1.826542,0.75069,1
-0.647439,-1.765177,2
-2.652946,-1.408202,2
1.928976,1.624122,1
1.628911,1.028791,1
1.173588,2.764763,1
-1.164683,-1.475918,2
-0.488382,-1.054712,2
1.441232,2.710176,1
-0.630313,0.925903,1
-1.216432,-0.043651,2
0.130534,1.694924,1
-1.534295,-0.919884,2
-1.210261,-1.813173,2
0.572701,0.041148,1
-3.472876,-1.533791,2
-1.874223,-2.048088,2
1.403871,2.539182,1
2.335616,0.525867,1
3.473703,1.425075,1
1.020586,2.85685,1
-0.985734,-1.126243,2
-1.289151,-1.806328,2
2.950253,0.736105,1
-2.289845,-3.33847,2
-1.139724,-0.831373,2
0.495307,-3.398092,2
0.671822,1.423323,1
1.544926,1.05635,1
0.40257,3.362402,1
0.931295,1.706922,1
-0.700501,-2.91177,2
0.658554,1.200698,1
1.677096,1.64139,1
-3.473486,-1.524258,2
-0.750902,0.147763,2
1.993219,2.07429,1
3.497778,2.858604,1
0.913359,2.660129,1
1.84789,1.588893,1
1.922583,1.78165,1
-0.633196,1.727336,1
-0.545144,-0.11707,2
-2.038221,-0.794364,2
-1.481751,-1.514942,2
-0.108351,0.09503,2
2.225646,1.29871,1
2.180451,1.930394,1
0.211749,1.595845,1
-1.685489,-2.093599,2
-0.613795,-2.523515,2
-1.806555,-2.904056,2
2.542566,1.086816,1
-2.755295,-1.88994,2
2.310428,0.29974,1
-1.277083,-2.812117,2
0.807666,2.748392,1
-0.531646,-2.145236,2
0.681007,2.815559,1
-0.609304,2.155918,1
0.127603,2.671306,1
-0.787366,-2.566399,2
-1.543078,-0.699688,2
-0.542379,1.871693,1
2.788111,1.631094,1
1.668299,0.375169,1
-1.441635,-1.769474,2
-1.412226,-3.039449,2
-3.296108,-2.542625,2
1.706015,-0.115846,1
0.739455,1.749862,1
-0.529578,0.116674,2
-1.139946,-2.32434,2
1.84034,1.873312,1
2.870551,0.506327,1
-1.672805,-1.020162,2
-0.910298,-2.154273,2
1.847226,0.617029,1
-0.899472,0.145008,2
0.72719,3.393946,1
1.16069,-0.925425,1
2.135728,0.360268,1
1.939399,2.388933,1
-1.653274,-1.872299,2
-0.730967,0.811417,1
-0.594414,2.404551,1
1.217048,1.772579,1
2.20865,0.663179,1
2.378102,1.698577,1
-1.900459,-0.901486,2
-1.438374,-1.22324,2
1.731743,2.948607,1
1.353908,1.355985,1
-1.702833,-1.02431,2
-1.620426,-2.131397,2
1.439141,1.448357,1
-0.500495,0.77349,2
0.451114,2.073138,1
-1.176911,-1.576473,2
2.942014,-0.338509,1
-1.226657,-1.666883,2
-0.626906,1.821242,2
-2.234803,-2.523282,2
-0.740716,-1.231405,2
-2.603282,-1.057491,2
-3.203626,-0.925085,2
-1.365664,0.209776,2
1.046517,1.14609,1
1.173394,2.175498,1
-0.977822,-0.744627,2
-1.034347,0.426302,2
2.299897,2.147637,1
1.550127,1.827346,1
-1.99182,-1.686615,2
0.476561,2.057063,1
2.413392,1.032891,1
0.521332,0.327346,1
-0.806217,1.97054,1
1.37496,-1.448545,2
-0.829143,-0.977839,2
1.57835,0.40459,1
-1.601682,-2.209348,2
0.893046,-0.17001,1
2.347981,3.431967,1
2.800818,1.390411,1
0.343399,1.606044,1
-0.739628,-2.081229,2
1.464015,-0.628801,1
2.742165,-0.050257,1
0.740644,-0.825648,2
-2.781478,-1.607193,2
2.131049,2.827394,1
1.097637,-0.338328,1
-1.922046,-1.900358,2
-2.987283,-2.501769,2
0.440668,1.823718,1
1.00418,0.436074,1
-2.695912,-0.866927,2
-2.079359,-1.762927,2
0.126426,-0.112227,2
-2.50303,-2.153531,2
-1.325974,-0.776074,2
0.368505,0.756269,1
-1.955914,-3.156469,2
-1.040346,-0.10641,2
2.048689,2.670761,1
1.388403,2.359391,1
-0.089332,-0.539017,2
1.580269,1.638922,1
1.099198,1.95672,1
1.928947,2.132425,1
-2.103926,-1.748229,2
-0.064946,1.675507,1
0.299372,1.380758,1
-0.264204,4.119903,1
2.378118,0.095201,1
-2.608248,-0.707746,2
-3.226053,-1.244305,2
0.587066,-2.463432,2
-0.823668,-1.863226,2
0.418583,2.508018,1
0.632924,1.18165,1
1.22281,0.950143,1
0.365489,-1.37083,2
-2.909922,0.360972,2
1.153336,0.328958,1
2.156824,1.935496,1
-0.628221,0.522866,1
-0.870559,-4.123437,2
-0.384776,1.089405,1
-1.651453,1.68291,2
1.666086,0.942409,1
-1.552955,-0.652912,2
-2.113688,-2.554566,2
-1.062698,-1.493343,2
-0.336498,-1.903767,2
1.795977,1.452087,1
-0.902903,-0.854907,2
-1.349314,-1.272335,2
-0.624458,-2.512327,2
-1.535799,-0.083984,2
1.189142,0.823333,1
-2.15619,-0.73873,2
0.843167,2.609681,1
0.970271,2.207955,1
-0.118629,-0.2672,2
-0.441243,-1.131599,2
-2.115207,-2.479313,2
2.456236,0.827029,1
-2.673356,-3.343221,2
-2.404885,-1.142025,2
1.779619,2.136828,1
-0.416763,-1.654976,2
-1.603754,-3.874077,2
1.027757,0.846679,1
2.583197,0.492153,1
1.614769,-2.011787,2
-1.231558,-1.864542,2
2.933573,1.757872,1
-0.102286,1.125093,1
1.717619,1.871135,1
-1.311181,-1.779179,2
2.669595,1.370356,1
1.918092,0.421425,1
0.323715,-0.686065,2
-1.125721,-1.228242,2
0.928331,1.283524,1
-1.017714,-0.882549,2
-2.261663,-0.182396,2
1.151522,0.620985,1
1.645883,2.525989,1
1.79804,2.434533,1
-2.234875,-1.095143,2
0.807098,2.120155,1
0.760854,-0.682284,1
0.254776,1.103036,2
-2.926888,-1.353554,2
1.275969,1.71595,1
2.736023,1.07876,1
0.438027,-2.070466,2
-0.257392,1.490486,1
3.107979,1.270401,1
1.685825,1.1759,1
-0.776273,-1.509586,2
-0.592642,-1.702776,2
-2.384868,-0.401561,2
-0.626464,-2.082684,2
-1.49035,-0.670302,2
-1.086153,0.556352,2
1.026198,0.452848,1
1.185069,0.356568,1
-0.578524,-1.097613,2
0.543414,1.699496,1
-1.018742,0.063933,2
-0.523573,-1.859876,2
2.068801,-0.99529,1
-1.416861,-2.108615,2
-2.703275,-1.769952,2
-1.624371,-2.962175,2
0.280193,0.746867,1
1.495468,0.52572,1
-2.30249,-1.08359,2
-1.010834,-0.26833,2
0.298645,-3.127182,2
0.208102,1.856431,1
1.857537,1.587318,1
1.623189,0.572001,1
0.797453,2.073407,1
-1.123937,-3.458956,2
1.344333,2.334004,1
-1.068439,-1.357304,2
-2.569487,-1.919396,2
1.257462,2.034904,1
1.550823,0.120552,1
1.648856,-1.054566,1
1.748996,3.484682,1
1.334117,-0.422803,1
0.530818,0.423002,1
-0.892756,-2.739146,2
-0.822524,-0.753163,2
-1.692687,-0.056176,2
-1.22925,-2.181331,2
-1.014575,-1.137496,2
-1.658049,-3.139332,2
-1.208978,0.118535,2
0.744842,-3.394809,2
-1.089354,-1.766248,2
2.627201,1.222578,1
-3.028491,-1.3142,2
1.217501,0.854379,1
1.958767,2.855751,1
-3.685519,-0.038674,2
-2.844777,0.040511,2
1.383029,1.773953,1
-0.459898,-3.038684,2
1.708863,1.603448,1
3.960238,1.082873,1
2.397083,2.202787,1
-0.56882,0.890452,1
2.235616,2.136833,1
-1.459426,-2.02549,2
2.242524,1.682554,1
-0.253184,-1.885279,2
-0.328271,1.575301,1
2.498799,-0.339153,1
-0.206001,2.868823,1
-0.742514,-0.288041,2
-0.038923,0.549616,1
1.732074,-0.761849,1
0.437221,3.568388,1
-2.176746,-1.468246,2
-2.187958,-2.090703,2
-0.027492,-1.701508,2
1.399209,-0.28237,1
-0.926598,-1.752538,2
-2.207459,-1.828596,2
1.914789,2.90736,1
-0.033242,2.014593,1
