@relation xor

@attribute x.1 numeric
@attribute x.2 numeric
@attribute classes {1,2}

@data
0.958475,0.113499,2
0.715709,0.848769,2
0.961161,0.772468,2
-0.600444,0.622397,1
-0.217518,-0.692338,2
0.90514,-0.157369,1
-0.863155,0.047421,1
-0.487211,-0.362126,2
-0.807584,0.242287,1
0.896465,0.67423,2
0.389919,-0.069653,1
0.189649,0.455121,2
-0.909856,0.299479,1
-0.750704,0.355362,1
0.023044,-0.435355,1
0.783505,-0.326926,1
-0.123287,-0.012408,2
0.641114,-0.324518,1
0.567377,-0.95955,1
-0.109635,-0.505609,2
-0.238654,0.642037,1
-0.844083,0.919633,1
-0.440879,0.624648,1
0.932404,0.36432,2
0.207402,0.97489,2
0.885447,0.50658,2
-0.093217,-0.402327,2
0.640077,0.564414,2
-0.073169,-0.480994,2
-0.719077,-0.801433,2
-0.556767,-0.956603,2
0.979552,-0.367656,1
0.799842,-0.280921,1
-0.291226,-0.549879,2
0.70663,-0.613663,1
0.722721,0.20871,2
0.500202,0.012985,2
0.436125,0.148341,2
0.530178,-0.589456,1
0.602726,-0.4974,1
0.929846,-0.481876,1
-0.111872,-0.417039,2
-0.602013,0.310957,1
0.604499,0.07352,2
-0.634262,-0.613143,2
0.39401,0.823215,2
0.833617,0.637678,2
-0.112184,0.720899,1
-0.119753,0.73923,1
0.486672,0.842826,2
-0.351402,0.026619,1
-0.922997,-0.325596,2
0.76408,0.935172,2
-0.821115,-0.63668,2
0.428401,-0.90094,1
-0.553181,-0.239787,2
0.822563,-0.620158,1
-0.568786,0.049644,1
0.751539,-0.45915,1
0.109072,0.733552,2
-0.58668,-0.839314,2
-0.333027,0.911987,1
0.2895,0.572206,2
-0.943106,-0.543688,2
-0.753068,-0.085753,2
-0.493034,0.850612,1
-0.083731,0.86818,1
-0.81615,0.218419,1
0.279448,0.58633,2
-0.673194,-0.916675,2
-0.824633,-0.385052,2
0.370108,0.043121,2
-0.717964,-0.072187,2
0.318956,-0.945255,1
0.918039,0.713537,2
0.513596,-0.378831,1
-0.443192,0.519759,1
0.436716,-0.472895,1
-0.811248,-0.123094,2
0.518221,-0.744802,1
-0.641717,0.124904,1
0.301538,-0.228198,1
0.920665,-0.718797,1
0.921026,0.259002,2
0.846249,-0.98408,1
0.498588,0.444222,2
-0.638792,0.637296,1
-0.98159,0.514945,1
-0.493703,-0.350283,2
-0.029746,0.973887,1
0.825288,-0.182487,1
-0.485173,0.509392,1
0.809782,-0.038585,1
0.312231,0.32104,2
-0.220428,0.903099,1
-0.051382,-0.504631,2
-0.408381,-0.931852,2
0.796287,-0.949382,1
-0.72309,-0.819118,2
-0.954076,0.58849,1
-0.307236,-0.256847,2
0.118863,-0.01865,1
0.464221,-0.337058,1
0.992922,0.831517,2
0.784203,0.133446,2
0.630517,-0.943874,1
0.944023,-0.72152,1
-0.958029,0.109711,1
-0.285412,0.03728,1
-0.987086,-0.91983,2
-0.444035,-0.505289,2
-0.516341,-0.217273,2
0.555856,-0.097158,1
-0.441044,-0.893303,2
-0.483715,0.767059,1
-0.765299,-0.168308,2
0.082521,0.698175,2
0.735609,-0.719779,1
0.199502,-0.980072,1
-0.692356,0.406469,1
-0.401274,0.207122,1
0.23082,-0.870379,1
-0.213077,-0.341506,2
-0.135693,-0.446047,2
-0.316606,-0.431377,2
-0.054366,-0.252893,2
-0.221045,0.438635,1
-0.980724,0.922782,1
-0.570779,0.027463,1
0.352697,-0.803181,1
-0.413645,-0.31568,2
0.793225,0.05328,2
0.580874,-0.252383,1
0.541492,-0.688755,1
0.974515,-0.088462,1
-0.72681,-0.470798,2
-0.739154,0.088164,1
0.636786,0.375972,2
-0.333144,-0.270162,2
-0.006045,0.506528,1
0.898315,-0.32652,1
0.355357,0.41148,2
0.173646,-0.529626,1
0.886261,0.343426,2
-0.342537,0.900649,1
-0.091499,0.934381,1
0.177679,-0.358146,1
-0.7628,-0.740815,2
-0.431555,-0.532203,2
-0.249648,0.550735,1
0.61997,-0.077223,1
-0.277042,-0.659916,2
-0.798912,-0.570871,2
-0.67126,-0.778749,2
-0.994299,-0.437612,2
0.526876,0.225261,2
-0.503578,0.59086,1
