@relation adult

@attribute age numeric
@attribute workclass {Private,Self-emp-not-inc,Self-emp-inc,Federal-gov,Local-gov,State-gov,Without-pay,Never-worked}
@attribute fnlwgt numeric
@attribute education {Bachelors,Some-college,11th,HS-grad,Prof-school,Assoc-acdm,Assoc-voc,9th,7th-8th,12th,Masters,1st-4th,10th,Doctorate,5th-6th,Preschool}
@attribute education-num numeric
@attribute marital-status {Married-civ-spouse,Divorced,Never-married,Separated,Widowed,Married-spouse-absent,Married-AF-spouse}
@attribute occupation {Tech-support,Craft-repair,Other-service,Sales,Exec-managerial,Prof-specialty,Handlers-cleaners,Machine-op-inspct,Adm-clerical,Farming-fishing,Transport-moving,Priv-house-serv,Protective-serv,Armed-Forces}
@attribute relationship {Wife,Own-child,Husband,Not-in-family,Other-relative,Unmarried}
@attribute race {White,Asian-Pac-Islander,Amer-Indian-Eskimo,Other,Black}
@attribute sex {Female,Male}
@attribute capital-gain numeric
@attribute capital-gain2 numeric
@attribute hours-per-week numeric
@attribute native-country {United-States,Cambodia,England,Puerto-Rico,Canada,Germany,Outlying-US(Guam-USVI-etc),India,Japan,Greece,South,China,Cuba,Iran,Honduras,Philippines,Italy,Poland,Jamaica,Vietnam,Mexico,Portugal,Ireland,France,Dominican-Republic,Laos,Ecuador,Taiwan,Haiti,Columbia,Hungary,Guatemala,Nicaragua,Scotland,Thailand,Yugoslavia,El-Salvador,Trinadad&Tobago,Peru,Hong,Holand-Netherlands}
@attribute class {>50K,<=50K}

@data
29,Private,229124,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,48,United-States,>50K
53,Private,180062,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
25,Private,306908,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
61,Private,95500,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
19,Private,207173,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,30,United-States,<=50K
37,Private,196338,9th,5,Separated,Priv-house-serv,Unmarried,White,Female,0,0,16,Mexico,<=50K
29,Private,238680,Some-college,10,Never-married,Sales,Not-in-family,Black,Male,0,0,55,Outlying-US(Guam-USVI-etc),<=50K
22,Local-gov,244408,Some-college,10,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Vietnam,<=50K
29,Private,168479,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
54,Self-emp-not-inc,200960,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
39,Private,209867,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,13550,0,45,United-States,>50K
35,Private,247547,HS-grad,9,Separated,Prof-specialty,Other-relative,Black,Female,0,0,40,United-States,<=50K
44,Self-emp-not-inc,254303,Some-college,10,Divorced,Other-service,Not-in-family,White,Male,0,0,45,United-States,<=50K
53,State-gov,116367,Some-college,10,Divorced,Adm-clerical,Other-relative,White,Female,4650,0,40,United-States,<=50K
28,Private,243660,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
38,Private,365307,HS-grad,9,Separated,Adm-clerical,Not-in-family,White,Female,0,0,32,United-States,<=50K
24,Private,279472,Some-college,10,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,7298,0,48,United-States,>50K
52,State-gov,231166,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
51,Private,284329,HS-grad,9,Widowed,Transport-moving,Unmarried,White,Male,0,0,40,United-States,<=50K
63,Self-emp-inc,80572,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,>50K
55,Private,178353,9th,5,Divorced,Machine-op-inspct,Not-in-family,White,Male,10520,0,60,United-States,>50K
32,Private,90446,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
51,Private,257337,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,<=50K
36,Private,372525,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,<=50K
52,Private,279543,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,Cuba,>50K
27,State-gov,38353,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
55,Private,171780,Assoc-acdm,12,Divorced,Sales,Unmarried,Black,Female,0,0,30,United-States,<=50K
37,Private,405723,1st-4th,2,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<=50K
49,Local-gov,107231,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2002,40,United-States,<=50K
76,Local-gov,104443,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,0,1668,40,United-States,<=50K
27,Local-gov,194515,Assoc-acdm,12,Never-married,Prof-specialty,Own-child,Black,Female,0,0,37,United-States,<=50K
19,Private,237433,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Female,4416,0,40,United-States,<=50K
22,Private,182163,HS-grad,9,Separated,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K
42,Private,296982,Some-college,10,Divorced,Sales,Unmarried,White,Male,0,0,40,United-States,<=50K
41,Private,239683,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,30,?,<=50K
33,Private,288825,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,2258,84,United-States,<=50K
27,Private,303954,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,<=50K
38,Federal-gov,205852,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,45,United-States,>50K
49,Self-emp-inc,106169,Some-college,10,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
58,Federal-gov,256466,Masters,14,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,7688,0,40,China,>50K
30,Private,226296,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
59,Private,170148,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0,32,United-States,<=50K
51,Private,239155,Assoc-voc,11,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
45,Private,120724,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,4386,0,40,United-States,<=50K
23,Private,334357,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K
38,Private,93140,HS-grad,9,Separated,Machine-op-inspct,Unmarried,Black,Female,0,0,28,United-States,<=50K
40,Self-emp-not-inc,45093,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,45,Canada,<=50K
45,Private,239058,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Female,0,0,45,United-States,<=50K
21,Private,274398,Assoc-voc,11,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K
47,Private,204692,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
48,State-gov,353824,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,72,United-States,>50K
58,Private,123436,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,50,United-States,>50K
44,Private,147206,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
42,Local-gov,209818,Bachelors,13,Divorced,Prof-specialty,Other-relative,White,Female,0,0,55,United-States,<=50K
18,?,195981,HS-grad,9,Widowed,?,Own-child,White,Male,0,0,40,United-States,<=50K
32,Private,388672,Some-college,10,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,16,United-States,<=50K
65,?,143118,HS-grad,9,Widowed,?,Unmarried,White,Female,0,2206,10,United-States,<=50K
24,Private,73928,Assoc-voc,11,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,20,United-States,<=50K
20,Private,86143,Some-college,10,Never-married,Other-service,Other-relative,Asian-Pac-Islander,Male,0,0,30,United-States,<=50K
28,Private,192237,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,35,United-States,<=50K
42,Private,259727,Bachelors,13,Divorced,Prof-specialty,Unmarried,Black,Female,25236,0,20,United-States,>50K
32,Self-emp-not-inc,182691,HS-grad,9,Never-married,Other-service,Unmarried,White,Male,0,0,60,United-States,<=50K
38,Private,95336,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
38,Federal-gov,236648,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
51,Private,259363,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
35,Federal-gov,22494,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,>50K
57,Private,250201,HS-grad,9,Widowed,Transport-moving,Unmarried,White,Male,0,0,50,United-States,<=50K
52,Private,177858,HS-grad,9,Divorced,Craft-repair,Other-relative,White,Male,0,0,55,United-States,>50K
46,Private,188386,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,United-States,>50K
55,Private,185459,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
39,Self-emp-not-inc,73471,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,1573,45,United-States,<=50K
62,Private,113440,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,35,United-States,<=50K
56,Private,182142,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
36,?,229533,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,<=50K
46,Private,193188,Masters,14,Never-married,Exec-managerial,Unmarried,White,Male,0,0,40,United-States,<=50K
28,Private,252424,Assoc-voc,11,Never-married,Transport-moving,Own-child,Black,Male,0,0,40,Cambodia,<=50K
44,Private,148316,Assoc-acdm,12,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
75,State-gov,113868,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,20,United-States,>50K
76,Private,203910,HS-grad,9,Widowed,Other-service,Not-in-family,White,Male,0,0,17,United-States,<=50K
54,Private,278329,HS-grad,9,Married-spouse-absent,Exec-managerial,Not-in-family,White,Female,0,0,43,United-States,<=50K
53,Self-emp-not-inc,33304,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,38,United-States,>50K
50,Private,207367,Some-college,10,Married-spouse-absent,Other-service,Not-in-family,White,Female,0,0,40,Cuba,<=50K
55,Self-emp-inc,120920,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,35,United-States,<=50K
33,Private,286675,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
28,Private,163772,HS-grad,9,Married-civ-spouse,Other-service,Husband,Other,Male,0,0,40,United-States,<=50K
52,Self-emp-not-inc,77336,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
25,Private,108001,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,45,United-States,<=50K
38,Private,283293,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K
54,Private,118108,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K
52,Private,99185,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,7298,0,50,United-States,>50K
21,Private,119665,Some-college,10,Never-married,Tech-support,Own-child,White,Male,0,0,35,United-States,<=50K
31,Private,37546,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
20,Private,129240,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,30,United-States,<=50K
49,Private,59612,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,44,United-States,<=50K
32,Self-emp-inc,103078,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
31,Private,199655,Masters,14,Divorced,Other-service,Not-in-family,Other,Female,0,0,30,United-States,<=50K
21,Private,129232,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
30,Private,296897,HS-grad,9,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
55,Private,41108,Some-college,10,Widowed,Farming-fishing,Not-in-family,White,Male,0,2258,62,United-States,>50K
39,State-gov,252662,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,2824,50,United-States,>50K
32,Private,118551,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,?,>50K
31,Private,301251,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K
47,Private,299508,HS-grad,9,Divorced,Tech-support,Unmarried,Black,Female,0,0,55,United-States,<=50K
38,Private,34173,Bachelors,13,Never-married,Sales,Unmarried,White,Female,0,0,45,United-States,<=50K
70,?,103963,HS-grad,9,Widowed,?,Not-in-family,White,Male,0,0,6,United-States,<=50K
43,Private,221550,Masters,14,Never-married,Other-service,Not-in-family,White,Female,0,0,30,Poland,<=50K
55,Private,129173,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States,<=50K
42,Private,268183,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1485,60,United-States,<=50K
29,Private,173789,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
25,Private,169124,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,<=50K
67,Self-emp-not-inc,107138,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
61,Private,293899,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
35,Private,320451,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,65,Hong,>50K
26,Private,122999,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,<=50K
19,Self-emp-not-inc,140985,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,England,<=50K
58,?,169590,Some-college,10,Married-civ-spouse,?,Wife,White,Female,0,0,40,United-States,<=50K
45,Federal-gov,320818,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,80,United-States,>50K
55,Self-emp-not-inc,376548,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,<=50K
33,Private,226629,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,35,United-States,<=50K
38,Private,210438,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,>50K
53,State-gov,182907,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
54,Private,249352,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K
41,Self-emp-inc,32185,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K
46,Private,187581,HS-grad,9,Divorced,Craft-repair,Other-relative,White,Male,0,0,40,United-States,<=50K
41,Private,255824,Some-college,10,Divorced,Transport-moving,Not-in-family,White,Male,0,0,45,United-States,<=50K
40,Private,219266,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,50,United-States,>50K
52,Private,203635,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,>50K
35,Private,334291,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,<=50K
32,Self-emp-inc,161153,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,1902,55,United-States,>50K
51,Private,115066,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,2547,40,United-States,>50K
26,Private,34161,Some-college,10,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
33,Local-gov,203051,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,46,United-States,<=50K
49,Self-emp-not-inc,349986,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
