@relation localiz

@attribute a1 {A01,A02,A03,A04,A05,B01,B02,B03,B04,B05,C01,C02,C03,C04,C05,D01,D02,D03,D04,D05,E01,E02,E03,E04,E05}
@attribute a2 {010-000-024-033,020-000-033-111,020-000-032-221,010-000-030-096}
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute binaryClass {P,N}

@data
C04,020-000-033-111,6.3379E17,4.671003,1.336623,0.408968,P
D03,010-000-024-033,6.3379E17,2.746193,1.664781,-0.17429,N
B03,010-000-030-096,6.3379E17,1.964647,1.772918,0.316839,N
B02,020-000-032-221,6.3379E17,1.467577,2.312777,0.436398,P
A01,020-000-033-111,6.3379E17,4.634208,0.993608,0.440857,P
C04,010-000-024-033,6.3379E17,3.307726,1.057715,0.439257,P
E02,020-000-032-221,6.3379E17,4.357564,1.886058,1.177467,N
E03,010-000-024-033,6.3379E17,3.105083,1.443726,0.361629,P
E01,010-000-030-096,6.3379E17,2.534785,2.31089,0.43373,P
C04,010-000-024-033,6.3379E17,2.589112,2.19808,0.476357,P
D03,010-000-024-033,6.3379E17,1.188887,1.619179,0.023732,N
E03,020-000-032-221,6.3379E17,1.553981,2.089654,0.088505,P
E05,010-000-024-033,6.3379E17,2.99504,1.935671,0.132879,N
C02,020-000-033-111,6.3379E17,1.43669,1.397789,1.089305,N
E02,020-000-032-221,6.3379E17,4.564227,1.441475,0.377128,P
E01,020-000-033-111,6.3379E17,1.027755,2.364453,0.237755,P
C01,010-000-024-033,6.3379E17,4.68211,0.726467,1.686616,N
D03,010-000-030-096,6.3379E17,3.335919,1.214363,-0.023134,N
B03,020-000-033-111,6.3379E17,1.399715,2.54348,0.377688,P
E04,010-000-024-033,6.3379E17,3.012613,1.734901,-0.109229,N
C01,020-000-032-221,6.3379E17,0.96404,1.89132,0.645308,P
E03,020-000-032-221,6.3379E17,4.161161,1.950724,1.123642,N
C01,020-000-033-111,6.3379E17,2.752208,2.10627,1.270783,N
C05,020-000-032-221,6.3379E17,1.839126,2.427812,0.210685,P
D02,010-000-030-096,6.3379E17,2.354297,1.685673,0.223975,N
